,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
Pamb01,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Pat13480,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
23jeje09,0,0,1,1,0,1,1,1,0,1,0,3,0,0,0,0,0,21,-1
2141,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
20EMPENAR,0,0,3,0,2,2,0,2,3,0,2,2,0,0,0,1,-1,-1,-1
1WayTicket,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,14,-1
1Venom1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
1stThings1st,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
paulaluci,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,5,-1
PATTATRAK,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Patriarca998,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,0,-1,-1
patouf97320,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Patou1987,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
pato95360,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
patlaflush,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,41,-1
Pasutka,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
panamacity17,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,25,-1
Pasta57,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,2,-1
pasmieux12,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,63,-1
Pascaly16,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
pascaloudu45,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ParisHilton,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Paric,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,8,-1
parazitu,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Paravolar,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
PaPa_YoYo,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
PapaElla62,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Pandemics,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
PanchoProd,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Panchooooo,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
_banned_,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Zrnf09,0,0,1,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
medium,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,29,-1
Zozi27400,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
houda2003,0,2,2,1,0,1,0,0,3,0,2,0,1,0,3,1,-1,-1,-1
HomerDalord.,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,1,-1
Homardcosmic,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Hmidoudu66,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Hispano300,0,0,3,0,2,2,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
Heuteml,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Heureux32,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Heryoni,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
HeRo-CaLL,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Hellodream,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,-1,-1
Benigr,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Benha92250,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
bendino,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Benbou02,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
bena0806,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Ben5378,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Beloruble,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Belo1994,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,48,-1
Belliare,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,-1,-1,-1
bellejournee,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
BELG3,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
Belanafish,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Beitajk7,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
Beely73,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Beeautiful,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,36,-1
Bech3800,0,0,1,0,2,2,0,2,3,0,2,2,0,0,0,0,0,-1,-1
Bebeto98,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,-1,-1
BBQhairdryer,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,44,-1
Batielchicha,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Houllier,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Hsisbsv,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Hugoofficial,0,0,1,1,0,3,0,0,2,0,2,0,0,0,0,0,0,-1,-1
zionbool,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,44,-1
zouzlac85,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
Zotym_DaV,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ZONX10,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Zoltan02,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,16,-1
zolo34,0,0,1,1,0,1,0,0,1,0,1,3,0,0,0,0,0,-1,-1
zoel04,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Zo3va,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Zizoubir,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Zizou9415,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,4,-1,-1,-1
Zizou2885,0,0,1,1,0,1,1,1,0,1,1,3,0,0,0,0,0,-1,-1
ziuziu8,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Zitoun_OC,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
zitoune062,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,43,-1
zig694006,0,0,1,1,0,1,1,1,0,1,1,3,0,0,0,0,0,21,-1
HUMMMM84,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,59,-1
Zidane13140,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Zevvv,0,0,1,1,0,1,0,2,3,0,2,0,0,0,0,0,0,-1,-1
Zerallin,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,67,-1
Zepek315,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Zeone96,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Zenx,0,0,1,0,2,2,0,2,3,0,2,2,0,0,0,0,0,-1,-1
Zelbra,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Zed93130,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
Ibanez64500,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Iasses129,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Iahim94,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
I.Am.Gentil,1,1,0,0,2,2,1,2,1,1,0,3,0,0,0,0,0,-1,-1
Hyperion1618,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
26tabrichi26,0,2,2,1,0,1,0,2,3,0,2,0,1,0,0,0,0,62,-1
2J13,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
2pac37691,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
322678011,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
delinquant,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Delhabomb,0,0,1,0,1,0,1,1,2,1,1,3,0,0,0,0,0,-1,-1
delbajo777,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Delapanpa29,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
Deimandass,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,45,-1
DeHaszona,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,34,-1
deetox13,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,-1,-1,-1
DEDETOS64000,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
De.Guzman09,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Dbermejo,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Davy_Jones,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
davmi08,0,2,2,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Davidofff76,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
DavidMI84,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
David8351,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
David35353,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,67,-1
daveBar2Fer,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Daubs62,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Alexluneau,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,53,-1
alexchov,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
alexbus,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Alexanchezzz,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Alex30As,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
alessio2912,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
alesa0013,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
AlcantarAA,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,11,-1
AlBopp,0,0,1,1,0,3,1,0,2,1,1,3,0,0,0,0,0,-1,-1
albertigo,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,49,-1
Alain_Deloin,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Delirante19,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Demo-Negro,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
DeniSan19,1,1,0,1,0,3,1,1,0,1,1,1,0,0,0,0,0,-1,-1
ChertOFFka,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Choloo,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Choche42,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,19,-1
Chispitas87,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
CHIROMANTA,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ChipsRobber,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,43,-1
Chintoxito,0,0,1,0,1,0,0,2,1,0,2,2,0,0,0,0,0,-1,-1
chinogamer,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Chingchuang,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Chimitry,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,33,-1
chilenoloco,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
chienne2vie,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,66,-1
Chicchiv,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,64,-1
CHIBRA46,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
cherami,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Denisdu56,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
CHEEPAN,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
checkfold69,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Chatong,0,0,1,1,0,1,0,0,2,0,2,0,1,0,0,0,0,-1,-1
ChatonFou,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
Charlou144,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
dfsuadfi,0,0,3,0,2,2,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
dfd41,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Dexter1008,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Dexter10000,0,0,1,1,0,3,1,1,2,1,1,3,0,0,0,0,0,-1,-1
Deumii,1,1,0,0,2,2,1,2,1,1,0,3,0,0,0,0,0,-1,-1
DerienMerci,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
DEPENDANCE85,0,0,1,0,2,2,1,2,1,1,0,3,0,0,0,0,0,-1,-1
denithemalic,0,0,1,1,0,1,1,1,0,1,1,3,0,0,0,0,0,21,-1
Alainpsg71,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,12,-1
Alaelaamalti,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,4,-1
Alacoolax,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
7DrugsPoker7,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,28,-1
APortiStein,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ApolloCreed,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ApgvA,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,20,-1
Apetit,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,21,-1
APereira20,0,0,1,0,1,0,0,2,1,0,2,3,0,0,0,0,0,-1,-1
Antonio19921,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Antoine551,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Anto75005,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Anto15282009,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,4,-1
Antipapa33,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Antiesmo,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,63,-1
Anthotodd,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
AnthoRoma,0,0,1,1,0,1,0,2,2,0,2,3,0,0,0,0,0,-1,-1
7COCONUTs,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Argent.P.R,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,64,-1
7Arc-en-ciel,0,0,3,0,2,2,0,2,3,0,2,2,1,1,2,1,-1,-1,-1
777MORTGANE,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
777charly777,0,0,1,1,0,1,0,2,3,0,2,3,0,0,0,0,0,-1,-1
74574729C,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
7-YORAM-7,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,14,-1
6et4onze,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
69seb69,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,14,-1
66royal,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
62bobi62,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
5fou5,0,0,1,1,0,1,0,0,3,0,2,0,0,0,0,0,0,-1,-1
53r6io,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
43ekim,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,4,-1
3xpresso,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,32,-1
Arasi22,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,-1,-1
aristark,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,-1,-1,-1
alabien666,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
aurorep51,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
AL97417,0,0,1,0,1,0,1,1,1,1,1,3,0,0,0,0,0,-1,-1
al-yasscrimo,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
Akinatorr,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
akforza57,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,2,-1
Akatoto,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,40,-1
AK-47K,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Ahed60,1,1,0,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
Aguirre87,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Agoliat,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,17,-1
AGGA41,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,4,-1
Axyl_j,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,56,-1
axf1998,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Axelair333,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,64,-1
aurore0611,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Armando13700,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,3,-1,-1,-1
Attila66,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,11,-1
atrakeator,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,51,-1
Atgeir,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
AsTUTOven,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Asticall,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,14,-1
Asemoun5,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
asa2,1,1,0,0,1,0,1,1,0,1,1,3,0,0,0,0,0,-1,-1
arykomagik05,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
ArturkaLRG,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Arthur1017,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Arraka1,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Arno___44,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ARMANI57000,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Medhy51510,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Megatron_dl,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
meezee,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Celtix59,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,36,-1
Screech,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,41,-1
scofield8412,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ScobarStalin,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Schref,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
schindler74,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Scarre24,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Scaladama,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Sca27,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Sbergei,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Saura007,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,54,-1
Saul_Goodman,0,2,2,1,0,3,0,2,3,0,2,2,0,0,0,4,-1,-1,-1
Satsuj,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,18,-1
sashkis,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Sarbi28000,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,7,-1
Sara130,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Saparrow,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
sansa5,0,0,1,1,0,1,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Sannaki,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Sandyy94,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
chanceuXXXL,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,12,-1
ChamoisDub,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,21,-1
Chaft69700,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,-1,-1,-1
Chadrii83,0,0,3,0,2,2,0,2,3,0,2,2,1,1,2,1,-1,-1,-1
chadriancin,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,52,-1
Chacal04,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Chablasse,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,2,-1
Cha0,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,2,-1
CFD14,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,2,-1
Cette.En.S,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Yo1512,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Yoan.zz,0,2,2,1,0,3,0,0,2,0,1,0,0,0,0,0,0,60,-1
yolo19,0,0,1,1,0,1,0,1,1,0,2,3,0,0,0,0,0,-1,-1
Zebastien44,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
RouleteRusse,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,61,-1
Rororo6767,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Roropoto,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
room2fish,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,-1,-1
ronba,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Romzer08200,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,30,-1
ROMPEOJETES,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Romlouis,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,43,-1
Romario75016,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Romain.FB37,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Rom1l59,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
RollingBones,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
RoLiVeR,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Zbeubiz3000,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Yoniraaaa,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
zapatovitch,0,2,2,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Zam801,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,14,-1
zakhaev13,0,0,3,0,2,2,0,2,3,0,2,2,1,1,2,1,-1,-1,-1
Zachem,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,63,-1
Zacharie69,0,0,1,0,1,0,1,1,2,1,1,3,0,0,0,0,0,-1,-1
Zaako76,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,42,-1
Yuyu1743,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
Yungxrist,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,53,-1
youstiti,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Youka24000,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
YouAreObv,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
YOUANDISTARS,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
YoqaFR,0,0,1,0,2,2,0,2,3,0,2,2,0,0,0,0,0,68,-1
ceos95,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
CELBETA,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,19,-1
megalodon1,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
CedricWin3.4,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
HellBlade,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Guytchoumas,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,67,-1
Gouzmannn,0,0,1,0,1,0,1,2,1,1,0,3,0,0,0,0,0,-1,-1
Geraldbuv,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
FullTLX,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
